"Random_sequence_generation","Allocation_concealment","Blinding_of_participants_and_personnel","Blinding_of_outcome_assessment","Blinding_of_participant_personnel_outcome","Incomplete_outcome_data","Selective_outcome_reporting","Other_bias","Review","Study"
"Low risk","Unclear risk","Low risk","Low risk",NA,"Low risk","Low risk","Low risk","CD011344","Fan 2019"
"Low risk","Unclear risk","Low risk","Low risk",NA,"Low risk","Low risk","Low risk","CD011344","Ferrer 2017"
"Low risk","Unclear risk","Unclear risk","Unclear risk",NA,"Low risk","Low risk","Low risk","CD011344","Fettes 2006"
"Low risk","Unclear risk","High risk","Unclear risk",NA,"High risk","Low risk","Low risk","CD011344","Fidkowski 2019"
"Low risk","Unclear risk","Low risk","Low risk",NA,"Low risk","Low risk","Low risk","CD011344","Haidl 2020"
"Low risk","Low risk","Low risk","Low risk",NA,"Low risk","Low risk","Low risk","CD011344","Leo 2010"
"Low risk","High risk","Unclear risk","Unclear risk",NA,"Low risk","Low risk","Low risk","CD011344","Lim 2005"
"Unclear risk","Low risk","Low risk","Low risk",NA,"Low risk","Low risk","Low risk","CD011344","Lim 2010"
"Unclear risk","Unclear risk","Low risk","Low risk",NA,"Low risk","Low risk","Low risk","CD011344","Lin 2016"
"Unclear risk","High risk","Low risk","Low risk",NA,"Low risk","Low risk","Low risk","CD011344","Morau 2019"
"Low risk","Low risk","Low risk","Low risk",NA,"High risk","Low risk","Low risk","CD011344","Ojo 2020"
"Low risk","Low risk","Low risk","Low risk",NA,"Low risk","Low risk","Low risk","CD011344","Sia 2007"
"Low risk","Low risk","Low risk","Low risk",NA,"Low risk","Low risk","Low risk","CD011344","Sia 2013"
"Low risk","High risk","Low risk","Low risk",NA,"Low risk","Low risk","Low risk","CD011344","Song 2020"
"Low risk","Unclear risk","Low risk","Low risk",NA,"Low risk","Low risk","Low risk","CD011344","Wong 2006"
"Low risk","Unclear risk","High risk","Low risk",NA,"Low risk","High risk","High risk","CD011345","Johnson 2022"
"Low risk","Low risk","High risk","Low risk",NA,"Low risk","Unclear risk","Low risk","CD011345","Leader 1992"
"Low risk","Unclear risk","High risk","High risk",NA,"High risk","High risk","Low risk","CD011345","Martins 2022"
"Low risk","Low risk","High risk","Low risk",NA,"Low risk","Unclear risk","High risk","CD011345","McLindon 2011"
"Low risk","Low risk","High risk","High risk",NA,"High risk","High risk","High risk","CD011345","Robinson 2007"
"Low risk","Low risk","High risk","Low risk",NA,"Low risk","High risk","Low risk","CD011345","Stanford 2014"
"Low risk","Low risk","High risk","Low risk",NA,"Low risk","Unclear risk","High risk","CD011345","Tiplady 2013"
"Low risk","Unclear risk","Low risk","Low risk",NA,"Low risk","Low risk","Unclear risk","CD011381","Achiron 1998"
"Low risk","Low risk","Low risk","Unclear risk",NA,"High risk","Low risk","High risk","CD011381","ADVANCE 2014"
"Low risk","Low risk","Low risk","Low risk",NA,"Low risk","Low risk","High risk","CD011381","AFFIRM 2006"
"Low risk","Low risk","Low risk","Low risk",NA,"High risk","Low risk","High risk","CD011381","ALLEGRO 2012"
"Low risk","Low risk","Low risk","Low risk",NA,"Low risk","Low risk","High risk","CD011381","ASCLEPIOS I 2020"
"Low risk","Low risk","Low risk","Low risk",NA,"Low risk","Low risk","High risk","CD011381","ASCLEPIOS II 2020"
"Low risk","Low risk","High risk","Low risk",NA,"Low risk","Low risk","High risk","CD011381","ASSESS 2020"
"Low risk","Unclear risk","High risk","Unclear risk",NA,"Low risk","Low risk","High risk","CD011381","BECOME 2009"
"Low risk","Unclear risk","High risk","Low risk",NA,"Low risk","Low risk","High risk","CD011381","BEYOND 2009"
"Unclear risk","High risk","High risk","Low risk",NA,"Low risk","Low risk","Low risk","CD011381","Bornstein 1987"
"Low risk","Unclear risk","High risk","Low risk",NA,"Low risk","Low risk","High risk","CD011381","BRAVO 2014"
"Low risk","Low risk","High risk","Unclear risk",NA,"High risk","Low risk","High risk","CD011381","CAMMS223 2008"
"Low risk","Low risk","High risk","Unclear risk",NA,"High risk","Low risk","High risk","CD011381","CARE-MS I 2012"
"Low risk","Low risk","High risk","Unclear risk",NA,"High risk","Low risk","High risk","CD011381","CARE-MS II 2012"
"Low risk","Unclear risk","Low risk","Low risk",NA,"Low risk","Unclear risk","High risk","CD011381","CLARITY 2010"
"Low risk","Low risk","Low risk","Unclear risk",NA,"High risk","Low risk","Low risk","CD011381","CombiRx 2013"
"Unclear risk","Unclear risk","Low risk","Low risk",NA,"High risk","Low risk","Low risk","CD011381","CONCERTO 2021"
"Low risk","Low risk","High risk","Low risk",NA,"High risk","High risk","High risk","CD011381","CONFIRM 2012"
"Low risk","Low risk","Low risk","Low risk",NA,"Low risk","Low risk","High risk","CD011381","DECIDE 2015"
"Low risk","Low risk","Unclear risk","Low risk",NA,"High risk","High risk","High risk","CD011381","DEFINE 2012"
"Unclear risk","Unclear risk","High risk","Low risk",NA,"Unclear risk","Unclear risk","Unclear risk","CD011381","Etemadifar 2006"
"Low risk","Unclear risk","High risk","Low risk",NA,"Low risk","Low risk","Unclear risk","CD011381","Etemadifar 2007"
"Low risk","Low risk","Unclear risk","Low risk",NA,"Low risk","Low risk","Unclear risk","CD011381","Fazekas 1997"
"Low risk","Unclear risk","Unclear risk","Low risk",NA,"High risk","Low risk","High risk","CD011381","FREEDOMS 2010"
"Low risk","Unclear risk","Low risk","Low risk",NA,"High risk","Low risk","High risk","CD011381","FREEDOMS II 2014"
"Low risk","Unclear risk","High risk","Low risk",NA,"Low risk","Low risk","High risk","CD011381","GALA 2013"
"Unclear risk","Unclear risk","High risk","Low risk",NA,"Low risk","High risk","Low risk","CD011381","Gobbi 2013"
"Unclear risk","Unclear risk","High risk","Low risk",NA,"High risk","Low risk","High risk","CD011381","GOLDEN 2017"
"Low risk","Unclear risk","Low risk","Low risk",NA,"Low risk","Low risk","Unclear risk","CD011381","Goodkin 1991"
"Unclear risk","Unclear risk","Unclear risk","Unclear risk",NA,"Unclear risk","Low risk","Unclear risk","CD011381","IFNB MS Group 1993"
"Low risk","Low risk","High risk","High risk",NA,"Unclear risk","Low risk","Low risk","CD011381","INCOMIN 2002"
"Unclear risk","Unclear risk","Unclear risk","Unclear risk",NA,"Low risk","Low risk","High risk","CD011381","Johnson 1995"
"Unclear risk","Unclear risk","Low risk","Low risk",NA,"Unclear risk","High risk","High risk","CD011381","Knobler 1993"
"Low risk","Low risk","High risk","High risk",NA,"High risk","Low risk","Unclear risk","CD011381","Koch-Henriksen 2006"
"Low risk","Unclear risk","Unclear risk","Unclear risk",NA,"Low risk","Low risk","Low risk","CD011381","Lewanska 2002"
"Low risk","Low risk","High risk","High risk",NA,"Low risk","Low risk","Low risk","CD011381","MAIN 2014"
"Low risk","Low risk","Unclear risk","High risk",NA,"Low risk","Low risk","Unclear risk","CD011381","Millefiorini 1997"
"Low risk","Unclear risk","Low risk","Low risk",NA,"Low risk","Low risk","Low risk","CD011381","Mokhber 2014"
"Unclear risk","Unclear risk","Unclear risk","Unclear risk",NA,"Low risk","Low risk","High risk","CD011381","MSCRG 1996"
"Low risk","Low risk","Low risk","Low risk",NA,"High risk","Low risk","High risk","CD011381","OPERA I 2017"
"Low risk","Low risk","Low risk","Low risk",NA,"High risk","Low risk","High risk","CD011381","OPERA II 2017"
"Low risk","Low risk","Low risk","Low risk",NA,"Low risk","Low risk","High risk","CD011381","OPTIMUM 2021"
"Low risk","Low risk","Unclear risk","Low risk",NA,"Low risk","Low risk","High risk","CD011381","PRISMS 1998"
"Low risk","Low risk","Low risk","Low risk",NA,"Low risk","Low risk","High risk","CD011381","RADIANCE 2019"
"Low risk","Unclear risk","High risk","Low risk",NA,"Unclear risk","Low risk","High risk","CD011381","REGARD 2008"
"Unclear risk","Low risk","Low risk","Low risk",NA,"Unclear risk","Low risk","High risk","CD011381","SELECT 2013"
"Low risk","Low risk","Low risk","Low risk",NA,"Low risk","Low risk","High risk","CD011381","SUNBEAM 2019"
"Low risk","Low risk","Low risk","High risk",NA,"Unclear risk","High risk","High risk","CD011381","TEMSO 2011"
"Low risk","Low risk","Low risk","Unclear risk",NA,"High risk","Low risk","High risk","CD011381","TOWER 2014"
"Low risk","Low risk","Low risk","High risk",NA,"Low risk","Low risk","High risk","CD011381","TRANSFORMS 2010"
"Low risk","Unclear risk","Low risk","Low risk",NA,NA,NA,NA,"CD011534","Bertin 1996"
"Low risk","Low risk","Low risk","Low risk",NA,NA,NA,NA,"CD011534","Hay 2009"
"Low risk","Unclear risk","High risk","High risk",NA,NA,NA,NA,"CD011534","Kara 2022"
"Low risk","Low risk","High risk","High risk",NA,NA,NA,NA,"CD011534","Little 2013"
NA,NA,NA,NA,NA,"Low risk","Unclear risk","Unclear risk",NA,"Bertin 1996"
NA,NA,NA,NA,NA,"Low risk","Low risk","Low risk",NA,"Hay 2009"
NA,NA,NA,NA,NA,"High risk","Unclear risk","Unclear risk",NA,"Kara 2022"
NA,NA,NA,NA,NA,"Unclear risk","Low risk","Low risk",NA,"Little 2013"
"Unclear risk","Unclear risk","High risk","Unclear risk",NA,"Unclear risk","Low risk",NA,"CD011535","ACCEPT 2010"
"Low risk","Low risk","Low risk","Low risk",NA,"Low risk","Low risk",NA,"CD011535","ADACCESS 2018"
"Low risk","Low risk","Low risk","Low risk",NA,"Unclear risk","Low risk",NA,"CD011535","AFFIRM 2022"
"Low risk","Unclear risk","High risk","High risk",NA,"Unclear risk","High risk",NA,"CD011535","Akcali 2014"
"Unclear risk","Unclear risk","High risk","High risk",NA,"Unclear risk","Unclear risk",NA,"CD011535","Al-Hamamy 2014"
"Low risk","Low risk","Low risk","Low risk",NA,"Low risk","Low risk",NA,"CD011535","ALLURE 2021"
"Unclear risk","Unclear risk","High risk","High risk",NA,"Unclear risk","Unclear risk",NA,"CD011535","AlMutairi 2021"
"Unclear risk","Low risk","Low risk","Low risk",NA,"Low risk","Low risk",NA,"CD011535","AMAGINE-1 2016"
"Low risk","Low risk","Low risk","Low risk",NA,"Low risk","High risk",NA,"CD011535","AMAGINE-2 2015"
"Low risk","Low risk","Low risk","Low risk",NA,"Low risk","High risk",NA,"CD011535","AMAGINE-3 2015"
"Unclear risk","Unclear risk","Low risk","Low risk",NA,"Low risk","Unclear risk",NA,"CD011535","Asahina 2010"
"Low risk","Unclear risk","Low risk","Low risk",NA,"Unclear risk","Unclear risk",NA,"CD011535","Asawanonda 2006"
"Low risk","Low risk","Low risk","Low risk",NA,"Low risk","Low risk",NA,"CD011535","Augustin 2022"
"Low risk","Low risk","Unclear risk","Unclear risk",NA,"Low risk","Low risk",NA,"CD011535","AURIEL-PsO 2020"
"Low risk","Low risk","Low risk","Low risk",NA,"Low risk","Low risk",NA,"CD011535","Bachelez 2015"
"Low risk","Low risk","Low risk","Low risk",NA,"Low risk","Unclear risk",NA,"CD011535","Bagel 2012"
"Low risk","Low risk","High risk","High risk",NA,"Low risk","Low risk",NA,"CD011535","Barker 2011"
"Low risk","Low risk","Low risk","Low risk",NA,"Low risk","Low risk",NA,"CD011535","BE ABLE 1 2018"
"Low risk","Low risk","Low risk","Low risk",NA,"Low risk","Low risk",NA,"CD011535","BE RADIANT 2021"
"Low risk","Low risk","Low risk","Low risk",NA,"Low risk","Low risk",NA,"CD011535","BE READY 2021"
"Low risk","Low risk","Unclear risk","Unclear risk",NA,"Low risk","Low risk",NA,"CD011535","BE SURE 2021"
"Low risk","Low risk","Low risk","Unclear risk",NA,"Low risk","Low risk",NA,"CD011535","BE VIVID 2021"
"Low risk","Low risk","High risk","Unclear risk",NA,"Low risk","Low risk",NA,"CD011535","Bissonnette 2013"
"Unclear risk","Unclear risk","Unclear risk","Unclear risk",NA,"Low risk","Low risk",NA,"CD011535","Blauvelt 2021a"
"Low risk","Low risk","Low risk","Low risk",NA,"High risk","High risk",NA,"CD011535","BRIDGE 2017"
"Low risk","Low risk","Low risk","Low risk",NA,"Low risk","Low risk",NA,"CD011535","Cai 2016"
"Low risk","Low risk","Low risk","Low risk",NA,"Low risk","Low risk",NA,"CD011535","Cai 2020"
"Low risk","Low risk","Unclear risk","Low risk",NA,"Unclear risk","Low risk",NA,"CD011535","Cai 2022"
"Unclear risk","Unclear risk","Unclear risk","Unclear risk",NA,"Unclear risk","Low risk",NA,"CD011535","CALYPSO 2018"
"Unclear risk","Unclear risk","High risk","High risk",NA,"Unclear risk","Unclear risk",NA,"CD011535","Caproni 2009"
"Unclear risk","Unclear risk","Low risk","Low risk",NA,"Unclear risk","High risk",NA,"CD011535","CARIMA 2019"
"Unclear risk","Unclear risk","Unclear risk","Unclear risk",NA,"Unclear risk","Low risk",NA,"CD011535","Cestari 2021"
"Low risk","Low risk","Low risk","Low risk",NA,"Low risk","Low risk",NA,"CD011535","CHAMPION 2008"
"Low risk","Low risk","High risk","Unclear risk",NA,"Low risk","Low risk",NA,"CD011535","CHANGE 2021"
"Low risk","Unclear risk","Low risk","Low risk",NA,"Low risk","Unclear risk",NA,"CD011535","Chaudhari 2001"
"Unclear risk","Unclear risk","High risk","High risk",NA,"Unclear risk","Unclear risk",NA,"CD011535","Chladek 2005"
"Low risk","Low risk","High risk","Low risk",NA,"Low risk","Low risk",NA,"CD011535","CIMPACT 2018"
"Low risk","Low risk","Low risk","Low risk",NA,"Low risk","Low risk",NA,"CD011535","CIMPASI-1 2018"
"Low risk","Low risk","Low risk","Low risk",NA,"Low risk","Low risk",NA,"CD011535","CIMPASI-2 2018"
"Unclear risk","Unclear risk","Low risk","Low risk",NA,"Low risk","Low risk",NA,"CD011535","CLARITY 2018"
"Low risk","Low risk","Low risk","Low risk",NA,"Low risk","Low risk",NA,"CD011535","CLEAR 2015"
"Low risk","Low risk","Low risk","Low risk",NA,"High risk","Unclear risk",NA,"CD011535","Dogra 2012"
"Low risk","Low risk","Unclear risk","Unclear risk",NA,"High risk","Unclear risk",NA,"CD011535","Dogra 2013"
"Unclear risk","Unclear risk","High risk","High risk",NA,"Unclear risk","Unclear risk",NA,"CD011535","Dubertret 1989"
"Low risk","Low risk","Unclear risk","Unclear risk",NA,"Low risk","Low risk",NA,"CD011535","ECLIPSE 2019"
"Low risk","Low risk","Low risk","Low risk",NA,"Low risk","Low risk",NA,"CD011535","EGALITY 2017"
"Low risk","Low risk","Low risk","Low risk",NA,"Low risk","Low risk",NA,"CD011535","Elewski 2016"
"Low risk","Unclear risk","Low risk","Low risk",NA,"Unclear risk","Unclear risk",NA,"CD011535","Ellis 1991"
"Unclear risk","Unclear risk","High risk","High risk",NA,"Unclear risk","High risk",NA,"CD011535","Engst 1994"
"Low risk","Low risk","Low risk","Low risk",NA,"Low risk","Low risk",NA,"CD011535","ERASURE 2014"
"Low risk","Unclear risk","Low risk","Low risk",NA,"Low risk","Unclear risk",NA,"CD011535","ESTEEM-1 2015"
"Unclear risk","Low risk","Low risk","Low risk",NA,"Low risk","Low risk",NA,"CD011535","ESTEEM-2 2015"
"Low risk","Low risk","Low risk","Low risk",NA,"Low risk","Unclear risk",NA,"CD011535","EXPRESS 2005"
"Low risk","Low risk","Low risk","Low risk",NA,"Low risk","Unclear risk",NA,"CD011535","EXPRESS-II 2007"
"Low risk","Unclear risk","High risk","Unclear risk",NA,"High risk","Unclear risk",NA,"CD011535","Fallah Arani 2011"
"Low risk","Low risk","Low risk","Low risk",NA,"Low risk","Low risk",NA,"CD011535","FEATURE 2015"
"Low risk","Low risk","Low risk","Low risk",NA,"Low risk","Low risk",NA,"CD011535","Feldman 2021"
"Low risk","Low risk","Low risk","Low risk",NA,"Low risk","Low risk",NA,"CD011535","FIXTURE 2014"
"Low risk","Low risk","High risk","Unclear risk",NA,"High risk","Unclear risk",NA,"CD011535","Flytström 2008"
"Low risk","Unclear risk","High risk","High risk",NA,"Unclear risk","Unclear risk",NA,"CD011535","Gisondi 2008"
"Unclear risk","Unclear risk","High risk","High risk",NA,"Unclear risk","Unclear risk",NA,"CD011535","Goldfarb 1988"
"Low risk","Unclear risk","Low risk","Low risk",NA,"Low risk","Unclear risk",NA,"CD011535","Gordon 2006"
"Unclear risk","Unclear risk","High risk","Low risk",NA,"Low risk","Low risk",NA,"CD011535","Gordon X-PLORE 2015"
"Low risk","Unclear risk","Low risk","Low risk",NA,"High risk","Unclear risk",NA,"CD011535","Gottlieb 2003a"
"Unclear risk","Unclear risk","Low risk","Low risk",NA,"Low risk","Unclear risk",NA,"CD011535","Gottlieb 2004a"
"Unclear risk","Unclear risk","Low risk","Low risk",NA,"Low risk","Low risk",NA,"CD011535","Gottlieb 2011"
"Unclear risk","Unclear risk","Low risk","Low risk",NA,"Low risk","Low risk",NA,"CD011535","Gottlieb 2012"
"Unclear risk","Unclear risk","High risk","Low risk",NA,"Low risk","Unclear risk",NA,"CD011535","Gurel 2015"
"Low risk","Low risk","High risk","Unclear risk",NA,"Low risk","Unclear risk",NA,"CD011535","Heydendael 2003"
"Unclear risk","Unclear risk","Low risk","Low risk",NA,"Unclear risk","High risk",NA,"CD011535","Hunter 1963"
"Unclear risk","Unclear risk","Low risk","Low risk",NA,"Low risk","Unclear risk",NA,"CD011535","Igarashi 2012"
"Low risk","Low risk","High risk","High risk",NA,"Unclear risk","Low risk",NA,"CD011535","Ikonomidis 2017"
"Low risk","High risk","High risk","High risk",NA,"Unclear risk","Low risk",NA,"CD011535","Ikonomidis 2022"
"Low risk","Low risk","High risk","Low risk",NA,"Low risk","Low risk",NA,"CD011535","IMMerge 2021"
"Low risk","Low risk","Low risk","Low risk",NA,"Low risk","Low risk",NA,"CD011535","IMMhance 2020"
"Unclear risk","Unclear risk","Unclear risk","Unclear risk",NA,"Low risk","Low risk",NA,"CD011535","IMMpress 2022"
"Low risk","Low risk","Low risk","Low risk",NA,"Low risk","Low risk",NA,"CD011535","IMMvent 2019"
"Low risk","Low risk","Low risk","Low risk",NA,"Low risk","Low risk",NA,"CD011535","IXORA-P 2018"
"Low risk","Low risk","Unclear risk","Unclear risk",NA,"Low risk","Low risk",NA,"CD011535","IXORA-R 2020"
"Low risk","Low risk","Low risk","Low risk",NA,"Low risk","Low risk",NA,"CD011535","IXORA-S 2017"
"Unclear risk","Low risk","Low risk","Low risk",NA,"Low risk","Low risk",NA,"CD011535","JUNCTURE 2015"
"Unclear risk","Unclear risk","High risk","High risk",NA,"Low risk","Low risk",NA,"CD011535","Khatri 2016"
"Unclear risk","Unclear risk","Low risk","Low risk",NA,"Low risk","Low risk",NA,"CD011535","Krueger 2007"
"Unclear risk","Unclear risk","High risk","High risk",NA,"Unclear risk","Unclear risk",NA,"CD011535","Laburte 1994"
"Unclear risk","Unclear risk","High risk","High risk",NA,"Low risk","Low risk",NA,"CD011535","Lee 2016"
"Low risk","Low risk","Low risk","Low risk",NA,"Low risk","Unclear risk",NA,"CD011535","Leonardi 2003"
"Low risk","Low risk","Low risk","Low risk",NA,"Low risk","Low risk",NA,"CD011535","Leonardi 2012"
"Low risk","Low risk","Low risk","Low risk",NA,"Low risk","High risk",NA,"CD011535","LIBERATE 2017"
"Low risk","Unclear risk","Unclear risk","Unclear risk",NA,"Unclear risk","Low risk",NA,"CD011535","Liu 2020"
